Date,Close
2022-09-21,1392.51
2022-09-22,1397.56
2022-09-23,1403.66
2022-09-26,1421.81
2022-09-27,1429.77
2022-09-28,1426.26
2022-09-29,1421.95
2022-09-30,1430.17
2022-10-03,1439.23
2022-10-04,1433.34
2022-10-05,1416.53
2022-10-06,1416.76
2022-10-07,1408.45
2022-10-10,1415.98
2022-10-11,1428.35
2022-10-12,1430.8
2022-10-13,1423.9
2022-10-14,1430.3
2022-10-17,1440.76
2022-10-18,1430.15
2022-10-19,1425.02
2022-10-20,1435.01
2022-10-21,1430.31
2022-10-24,1428.11
2022-10-25,1443.96
2022-10-26,1426.93
2022-10-27,1412.69
2022-10-28,1420.65
2022-10-31,1421.65
2022-11-01,1424.67
2022-11-02,1416.6
2022-11-03,1423.1
2022-11-04,1423.65
2022-11-07,1402.11
2022-11-08,1392.7
2022-11-09,1374.15
2022-11-10,1370.55
2022-11-11,1349.37
2022-11-14,1313.03
2022-11-15,1324.08
2022-11-16,1316.26
2022-11-17,1336.43
2022-11-18,1342.75
2022-11-21,1339.03
2022-11-22,1359.75
2022-11-23,1352.69
2022-11-24,1336.81
2022-11-25,1317.89
2022-11-28,1334.56
2022-11-29,1340.12
2022-11-30,1325.37
2022-12-01,1279.8
2022-12-02,1303.25
2022-12-05,1299.17
2022-12-06,1304.37
2022-12-07,1319.71
2022-12-08,1314.1
2022-12-09,1316.63
2022-12-12,1303.17
2022-12-13,1305.92
2022-12-14,1288.98
2022-12-15,1295.68
2022-12-16,1317.1
2022-12-19,1308.86
2022-12-20,1301.33
2022-12-21,1283.64
2022-12-22,1280.77
2022-12-23,1290.2
2022-12-26,1279.24
2022-12-27,1275.13
2022-12-28,1272.28
2022-12-29,1274.32
2022-12-30,1260.26
2023-01-02,1260.91
2023-01-03,1270.1
2023-01-04,1279.08
2023-01-05,1271.08
2023-01-06,1274.18
2023-01-09,1252.88
2023-01-10,1239.28
2023-01-11,1240.16
2023-01-12,1241.6
2023-01-13,1239.13
2023-01-16,1236.59
2023-01-17,1240.71
2023-01-18,1237.0
2023-01-19,1237.88
2023-01-20,1232.18
2023-01-23,1230.03
2023-01-24,1229.28
2023-01-25,1232.66
2023-01-26,1232.59
2023-01-27,1231.85
2023-01-30,1228.95
2023-01-31,1231.5
2023-02-01,1232.15
2023-02-02,1221.95
2023-02-03,1224.9
2023-02-06,1246.75
2023-02-07,1261.23
2023-02-08,1255.35
2023-02-09,1260.47
2023-02-10,1264.55
2023-02-13,1266.87
2023-02-14,1272.94
2023-02-15,1272.25
2023-02-16,1283.72
2023-02-17,1288.96
2023-02-20,1293.92
2023-02-21,1296.11
2023-02-22,1305.83
2023-02-23,1302.83
2023-02-24,1298.08
2023-02-27,1313.7
2023-02-28,1318.35
2023-03-01,1321.6
2023-03-02,1305.73
2023-03-03,1311.06
2023-03-06,1294.78
2023-03-07,1299.0
2023-03-08,1317.9
2023-03-09,1316.45
2023-03-10,1325.55
2023-03-13,1319.54
2023-03-14,1296.38
2023-03-15,1304.58
2023-03-16,1311.74
2023-03-17,1301.62
2023-03-20,1307.65
2023-03-21,1304.94
2023-03-22,1303.44
2023-03-23,1298.25
2023-03-24,1286.29
2023-03-27,1294.83
2023-03-28,1297.8
2023-03-29,1296.98
2023-03-30,1307.13
2023-03-31,1296.5
2023-04-03,1305.48
2023-04-04,1308.05
2023-04-05,1312.41
2023-04-06,1316.21
2023-04-07,1317.94
2023-04-10,1315.45
2023-04-11,1320.88
2023-04-12,1322.09
2023-04-13,1322.83
2023-04-14,1301.43
2023-04-17,1303.38
2023-04-18,1316.07
2023-04-19,1315.9
2023-04-20,1326.76
2023-04-21,1323.6
2023-04-24,1329.38
2023-04-25,1332.8
2023-04-26,1341.0
2023-04-27,1337.83
2023-04-28,1339.39
2023-05-01,1337.17
2023-05-02,1342.79
2023-05-03,1342.3
2023-05-04,1335.23
2023-05-05,1320.15
2023-05-08,1316.96
2023-05-09,1322.41
2023-05-10,1326.05
2023-05-11,1318.05
2023-05-12,1329.88
2023-05-15,1341.52
2023-05-16,1335.4
2023-05-17,1342.43
2023-05-18,1334.15
2023-05-19,1334.74
2023-05-22,1324.21
2023-05-23,1313.83
2023-05-24,1319.84
2023-05-25,1318.52
2023-05-26,1330.89
2023-05-29,1322.43
2023-05-30,1324.59
2023-05-31,1319.79
2023-06-01,1321.74
2023-06-02,1312.85
2023-06-05,1305.14
2023-06-06,1299.79
2023-06-07,1299.2
2023-06-08,1308.34
2023-06-09,1296.33
2023-06-12,1286.69
2023-06-13,1284.58
2023-06-14,1267.62
2023-06-15,1273.99
2023-06-16,1270.05
2023-06-19,1276.31
2023-06-20,1283.24
2023-06-21,1287.54
2023-06-22,1288.38
2023-06-23,1298.21
2023-06-26,1307.67
2023-06-27,1302.66
2023-06-28,1296.6
2023-06-29,1309.01
2023-06-30,1323.07
2023-07-03,1315.3
2023-07-04,1306.1
2023-07-05,1295.5
2023-07-06,1302.97
2023-07-07,1309.22
2023-07-10,1297.37
2023-07-11,1299.54
2023-07-12,1291.51
2023-07-13,1274.7
2023-07-14,1266.83
2023-07-17,1268.34
2023-07-18,1265.45
2023-07-19,1264.94
2023-07-20,1265.09
2023-07-21,1278.4
2023-07-24,1285.65
2023-07-25,1280.53
2023-07-26,1274.12
2023-07-27,1275.17
2023-07-28,1283.88
2023-07-31,1272.39
2023-08-01,1277.93
2023-08-02,1289.05
2023-08-03,1295.37
2023-08-04,1296.4
2023-08-07,1303.05
2023-08-08,1307.75
2023-08-09,1316.67
